owner,type,violations,complaints,buildings,viol_per_bldg,top_category,top_district,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9
NLB 55TH LLC,LLC,11,5,1,11.0,No type recorded,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,0
"EVANGELISTA,NELSON J CO TR",Corporation,11,4,2,5.5,No type recorded,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,15
701 PACIFIC LLC,LLC,10,17,1,10.0,No type recorded,1,10,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
"SMITH,GARFIELD O CO TR  SMITH",Corporation,10,8,1,10.0,No type recorded,1,10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
SMA ASSOCIATES LLC,LLC,10,9,1,10.0,No type recorded,1,10,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2450 COLORADO BLVD LLC,LLC,10,18,1,10.0,No type recorded,1,10,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"LEVIN,GREGORY S CO TR ET AL G",Corporation,10,14,1,10.0,Property Maintenance,1,10,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
SP 927 DAISY LLC,LLC,10,26,1,10.0,No type recorded,1,10,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
"TEKCHANDANI,NARAIN CO TR",Corporation,10,23,2,5.0,No type recorded,1,7,0,0,0,0,0,3,0,0,17,0,0,0,0,0,16,0,0
C C C PROPERTY GROUP 4 LLC,LLC,10,38,3,3.3,No type recorded,6,1,0,3,0,0,6,0,0,0,2,0,13,0,0,33,0,0,0
FTI HOLDINGS INC,Corporation,10,24,2,5.0,No type recorded,2,0,10,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
SA PROPERTIES COMPANY LP,Corporation,10,40,2,5.0,Property Maintenance,5,0,1,0,0,9,0,0,0,0,0,10,0,0,40,0,0,0,0
TIGELL INVESTMENTS I LLC,LLC,10,20,2,5.0,No type recorded,2,0,6,0,0,0,4,0,0,0,0,16,0,0,0,14,0,0,0
1401 E OCEAN BLVD INVESTORS LP,Limited Partnership,10,25,1,10.0,No type recorded,2,0,10,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0
P K BONITO LTD,Limited Partnership,10,19,1,10.0,No type recorded,2,0,10,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
1148 STANLEY AVE LLC,LLC,10,11,1,10.0,No type recorded,2,0,10,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
OCTAGON EAGLES LLC,LLC,10,17,1,10.0,No type recorded,2,0,10,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
"THAO,LIMTIN CO TR SO THAO TRUST",Corporation,10,19,2,5.0,Vehicles,6,0,1,0,0,0,9,0,0,0,0,2,0,0,0,27,0,0,0
"VU,HAI MANH CO TR  HAI VU AND",Corporation,10,19,2,5.0,No type recorded,2,0,8,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,11
MERCY HOUSING CALIFORNIA 112 LP,Limited Partnership,10,28,2,5.0,Property Maintenance,2,0,10,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0
CHAN WRR LP,Limited Partnership,10,7,2,5.0,No type recorded,2,0,5,0,0,0,0,0,5,0,0,8,0,0,0,0,0,9,0
SHOAG LONG BEACH PROPERTIES LLC,LLC,10,10,3,3.3,No type recorded,7,0,3,0,0,0,2,5,0,0,0,7,0,0,0,2,11,0,0
"MILLER,CHRISTOPHER J CO TR  CS",Corporation,10,9,2,5.0,No type recorded,2,0,9,1,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0
ADV LLC,LLC,10,12,2,5.0,No type recorded,3,0,0,5,0,0,0,0,0,5,0,0,12,0,0,0,0,0,10
MO ENTERPRISES LLC,LLC,10,4,1,10.0,Property Maintenance,4,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0
ORANGE QUAIL RIDGE LLC AND,LLC,10,35,2,5.0,No type recorded,5,0,0,0,0,10,0,0,0,0,0,0,0,0,45,0,0,0,0
PARKER 16TH LLC,LLC,10,12,1,10.0,No type recorded,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,22,0,0,0
RAE LEGACY LLC,LLC,10,7,1,10.0,No type recorded,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,17,0,0,0
AUTUMN WIND LLC,LLC,10,14,2,5.0,No type recorded,8,0,0,0,0,0,3,0,7,0,0,0,0,0,0,13,0,11,0
2261 PINE AVENUE LLC,LLC,10,19,1,10.0,No type recorded,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,29,0,0,0
LB VIEW INC,Corporation,10,21,2,5.0,No type recorded,8,0,0,0,0,0,1,0,9,0,0,0,0,0,0,15,0,16,0
20TH AND CHESTNUT LLC,LLC,10,18,1,10.0,No type recorded,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,28,0,0
1968 CHESTNUT LLC,LLC,10,11,1,10.0,No type recorded,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,21,0,0
FG HOMES LLC,LLC,10,3,1,10.0,Property Maintenance,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,0,0
DANIEL FERDOWS REAL ESTATE  LLC,LLC,10,3,1,10.0,No type recorded,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,0
AVANATH NORTHPOINTE LP,Limited Partnership,10,32,2,5.0,No type recorded,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,42,0
FULLHOUSE PROPERTIES LLC,LLC,10,6,1,10.0,No type recorded,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,16,0
PENN PROPERTIES III LLC,LLC,10,30,2,5.0,No type recorded,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,40
LELEDINA LLC,LLC,10,11,1,10.0,No type recorded,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,21
1075 E SOUTH ST LLC,LLC,10,18,1,10.0,No type recorded,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,28
RAJAS AND ASSOCIATES INC,Corporation,10,12,1,10.0,No type recorded,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,22
MISTER PIP LLC,LLC,10,9,1,10.0,No type recorded,9,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,19
KIT KAT INTERNATIONAL INC,Corporation,9,23,2,4.5,No type recorded,1,9,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
236 LIME AVE LLC,LLC,9,12,1,9.0,No type recorded,1,9,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
33 DREAM TEAM LLC,LLC,9,35,3,3.0,Property Maintenance,1,9,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
PETESON AND WILSON LLC,LLC,9,19,3,3.0,No type recorded,1,5,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,11
ATS BAY PROPERTIES LLC,LLC,9,14,2,4.5,No type recorded,1,9,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
"BASSIRPOU,HAMID R CO TR ET AL",Corporation,9,24,1,9.0,No type recorded,1,9,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
AMUSEMENT SIX APARTMENTS LLC,LLC,9,14,4,2.2,No type recorded,1,9,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
STARLITE MGMT IX LP,Limited Partnership,9,8,1,9.0,No type recorded,1,9,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
COM1 INVESTMENTS LLC,LLC,9,9,1,9.0,No type recorded,1,9,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
22 DAISY AVE LLC,LLC,9,6,1,9.0,No type recorded,1,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
BERRO ASSETS LLC,LLC,9,52,6,1.5,No type recorded,2,0,4,0,0,3,0,2,0,0,4,33,0,0,5,0,19,0,0
923 LINDEN APARTMENTS LLC,LLC,9,6,1,9.0,No type recorded,1,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
BSLB LLC,LLC,9,36,4,2.2,No type recorded,7,4,0,0,0,0,0,5,0,0,26,0,0,0,0,0,19,0,0
LAND MARK MARKETING CORP,Corporation,9,19,4,2.2,No type recorded,2,1,6,0,0,0,2,0,0,0,5,17,0,0,0,6,0,0,0
EEL PROPERTY HOLDINGS LLC,LLC,9,9,3,3.0,Property Maintenance,9,4,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,9
"JACQUES,CAMERON J CO TR JACQUES",Corporation,9,70,2,4.5,Other,1,9,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
ABRAMS FAMILY LLC,LLC,9,17,3,3.0,No type recorded,6,3,0,0,0,0,6,0,0,0,16,0,0,0,0,10,0,0,0
UIP PIKE LLC AND,LLC,9,23,2,4.5,No type recorded,2,0,9,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
WISKER REAL ESTATE LLC,LLC,9,16,1,9.0,No type recorded,2,0,9,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
GROWTH VERTICAL LLC,LLC,9,8,2,4.5,No type recorded,2,0,6,0,0,0,3,0,0,0,0,12,0,0,0,5,0,0,0
2845 SPAULDING LLC,LLC,9,16,2,4.5,No type recorded,2,0,9,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
1615 BROADWAY G AND B LLC,LLC,9,27,3,3.0,No type recorded,2,0,9,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
GLENLEE LLC,LLC,9,17,2,4.5,Other,2,0,8,0,0,0,0,1,0,0,0,21,0,0,0,0,5,0,0
PK GLADYS LTD,Limited Partnership,9,20,1,9.0,No type recorded,2,0,9,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
1772 ORIZABA PARTNERS LP,Limited Partnership,9,6,1,9.0,No type recorded,2,0,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
651 STANLEY AND LINDEN LLC,LLC,9,29,4,2.2,No type recorded,8,0,2,0,0,0,0,0,7,0,0,5,0,0,0,0,0,33,0
TREMONT PROPERTIES LLC,LLC,9,14,1,9.0,No type recorded,3,0,0,9,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
PABST LOMA LLC,LLC,9,28,3,3.0,No type recorded,3,0,0,9,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
AVAN UNITED LLC,LLC,9,13,4,2.2,No type recorded,6,0,0,3,0,0,6,0,0,0,0,0,5,0,0,17,0,0,0
JARBEEK PROPERTIES LLC,LLC,9,53,1,9.0,Nuisance,3,0,0,9,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0
YAMAMOTO EQUITY INC,Corporation,9,8,2,4.5,No type recorded,9,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,16
SHREE GANESH INC,Corporation,9,25,1,9.0,No type recorded,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,34,0,0,0
PS LONG BEACH ATLANTIC INC,Corporation,9,10,2,4.5,Property Maintenance,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,19,0,0,0
1481 GAVIOTA LLC,LLC,9,4,1,9.0,No type recorded,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,0,0,0
1377 WARREN AVE LLC,LLC,9,8,1,9.0,No type recorded,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0
LEE HO AND HO PARTNERSHIP,Limited Partnership,9,2,1,9.0,No type recorded,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0
CENTURY CITY VIEW LP,Limited Partnership,9,17,1,9.0,No type recorded,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,0,0
"CRUZADO,MARCO J CO TR ET AL",Corporation,9,2,1,9.0,No type recorded,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0
LSC FAMILIES LLC,LLC,9,9,2,4.5,No type recorded,6,0,0,0,0,0,8,0,0,1,0,0,0,0,0,13,0,0,5
NANQUAN INVESTMENT LLC,LLC,9,17,1,9.0,No type recorded,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,0,0
JDK CEDAR LLC,LLC,9,25,1,9.0,No type recorded,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,34,0,0
SRPS LP,Limited Partnership,9,5,8,1.1,Property Maintenance,8,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,3,6,5
SANTA FE LLC,LLC,9,7,1,9.0,No type recorded,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,0,0
"NGUYEN,CAROLYN CO TR  NGUYEN",Corporation,9,3,1,9.0,No type recorded,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0
GGB PROPERTIES LP,Limited Partnership,9,15,5,1.8,No type recorded,8,0,0,0,0,0,0,2,4,3,0,0,0,0,0,0,3,15,6
CARLTON ARMS PARTNERSHIP,Limited Partnership,9,2,3,3.0,No type recorded,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,0
