owner,type,violations,complaints,buildings,viol_per_bldg,top_category,top_district,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dt1,dt2,dt3,dt4,dt5,dt6,dt7,dt8,dt9
TKLB HOLDINGS LLC,LLC,14,21,3,4.7,No type recorded,6,3,0,0,0,0,11,0,0,0,6,0,0,0,0,29,0,0,0
2311 LEMON LLC,LLC,14,21,1,14.0,No type recorded,1,14,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
EVEREST REALTY INVESTMENTS LLC,LLC,14,32,3,4.7,No type recorded,2,3,6,5,0,0,0,0,0,0,9,19,18,0,0,0,0,0,0
816 829 WALNUT APARTMENTS LLC,LLC,14,22,2,7.0,No type recorded,1,14,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
935 937 OLIVE STREET LP,Limited Partnership,14,11,1,14.0,No type recorded,1,14,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
CHITCHAT LLC,LLC,14,10,1,14.0,No type recorded,1,14,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
316 INC,Corporation,14,20,1,14.0,Graffiti,1,14,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
1045 E 4TH ST LLC,LLC,14,30,1,14.0,No type recorded,2,0,14,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
"SECOR,JERALD A CO TR  SECOR",Corporation,14,12,4,3.5,No type recorded,2,0,13,1,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0
SVPP PROPERTIES LLC AND,LLC,14,20,1,14.0,No type recorded,2,0,14,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
10TH AND ROSWELL LLC,LLC,14,29,3,4.7,No type recorded,3,0,0,14,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
670 XIMENO LLC,LLC,14,5,1,14.0,No type recorded,3,0,0,14,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
1505 EAST 11TH STREET LLC,LLC,14,22,1,14.0,No type recorded,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,36,0,0,0
FULLHOUSE LONG BEACH LLC,LLC,14,10,1,14.0,No type recorded,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,24,0,0,0
1941 MAGNOLIA APTS LLC,LLC,14,19,1,14.0,No type recorded,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,33,0,0
