lat,lon,year,cat,og,d,v,n
33.772,-118.195,2015,Property Maintenance,I,1,0,3
33.777,-118.172,2015,No type recorded,I,1,0,1
33.773,-118.184,2015,No type recorded,E,1,0,2
33.77,-118.194,2015,No type recorded,E,1,0,1
33.775,-118.184,2015,Inspection,E,1,0,2
33.775,-118.184,2015,Inspection,I,1,0,1
33.771,-118.188,2015,Property Maintenance,E,1,0,1
33.775,-118.183,2015,Inspection,E,1,1,1
33.775,-118.183,2015,Inspection,I,1,0,3
33.775,-118.183,2015,Inspection,E,1,0,1
33.775,-118.182,2015,Inspection,E,1,0,1
33.775,-118.179,2015,Inspection,I,1,0,4
33.778,-118.196,2015,No type recorded,I,1,0,1
33.777,-118.182,2015,No type recorded,I,1,0,1
33.783,-118.192,2015,Property Maintenance,E,1,1,2
33.77,-118.184,2015,Property Maintenance,I,1,0,1
33.775,-118.195,2015,Health/Pests,I,1,1,1
33.773,-118.184,2015,No type recorded,E,1,1,1
33.773,-118.196,2015,Property Maintenance,I,1,0,1
33.772,-118.196,2015,Property Maintenance,E,1,0,2
33.771,-118.186,2015,Property Maintenance,E,1,0,3
33.775,-118.178,2015,Inspection,E,1,0,1
33.775,-118.178,2015,Inspection,I,1,0,1
33.778,-118.182,2015,Inspection,I,1,1,1
33.789,-118.192,2009,No type recorded,E,1,1,2
33.784,-118.201,2015,Other,E,1,1,1
33.774,-118.198,2015,No type recorded,E,1,0,3
33.776,-118.189,2015,Other,I,1,0,1
33.783,-118.2,2015,Property Maintenance,E,1,1,1
33.777,-118.198,2015,Health/Pests,E,1,0,1
33.774,-118.186,2015,Unpermitted Construction,E,1,1,1
33.775,-118.188,2015,Unpermitted Construction,I,1,0,1
33.775,-118.186,2015,Property Maintenance,E,1,0,1
33.775,-118.188,2015,Graffiti,I,1,0,1
33.78,-118.198,2015,No type recorded,E,1,0,1
33.78,-118.194,2015,Vehicles,I,1,0,1
33.783,-118.193,2015,Signage,E,1,1,1
33.776,-118.18,2015,Property Maintenance,I,1,0,1
33.775,-118.184,2015,Property Maintenance,E,1,0,1
33.775,-118.175,2015,Inspection,E,1,0,2
33.776,-118.181,2015,No type recorded,E,1,0,1
33.778,-118.186,2015,No type recorded,I,1,1,1
33.789,-118.191,2015,Vehicles,I,1,0,1
33.789,-118.191,2009,No type recorded,I,1,1,2
33.778,-118.196,2015,No type recorded,E,1,0,1
33.775,-118.174,2015,Inspection,I,1,0,4
33.775,-118.173,2015,Inspection,I,1,0,1
33.774,-118.193,2015,Graffiti,I,1,0,1
33.775,-118.178,2015,Property Maintenance,I,1,1,1
33.777,-118.175,2015,Illegal Use,I,1,0,1
33.776,-118.179,2015,Health/Pests,I,1,1,1
33.776,-118.178,2015,No type recorded,E,1,0,2
33.771,-118.195,2015,No type recorded,E,1,0,2
33.775,-118.177,2015,Inspection,I,1,0,1
33.772,-118.184,2015,No type recorded,I,1,0,2
33.774,-118.186,2015,Property Maintenance,E,1,0,2
33.775,-118.175,2015,Inspection,I,1,0,1
33.778,-118.198,2015,No type recorded,I,1,0,2
33.779,-118.18,2015,Property Maintenance,I,1,0,1
33.775,-118.173,2015,Inspection,E,1,0,1
33.775,-118.172,2015,Inspection,I,1,0,1
33.771,-118.2,2015,No type recorded,I,1,1,1
33.777,-118.18,2009,No type recorded,I,1,1,2
33.776,-118.188,2009,Property Maintenance,E,1,1,1
33.783,-118.191,2015,Other,E,1,0,1
33.775,-118.193,2015,Graffiti,E,1,0,1
33.781,-118.198,2015,Vehicles,I,1,0,1
33.768,-118.185,2015,No type recorded,I,1,0,1
33.777,-118.195,2015,No type recorded,E,1,0,17
33.777,-118.195,2015,No type recorded,I,1,1,3
33.777,-118.195,2015,No type recorded,E,1,1,2
33.778,-118.195,2015,No type recorded,E,1,0,13
33.776,-118.201,2015,No type recorded,E,1,0,2
33.79,-118.198,2015,Vehicles,E,1,0,1
33.774,-118.196,2015,No type recorded,E,1,0,3
33.777,-118.185,2015,Property Maintenance,I,1,0,1
33.772,-118.198,2015,Property Maintenance,I,1,1,1
33.778,-118.195,2015,No type recorded,I,1,0,25
33.778,-118.195,2015,No type recorded,I,1,1,16
33.778,-118.195,2015,No type recorded,E,1,1,3
33.78,-118.201,2015,Property Maintenance,I,1,1,1
33.777,-118.198,2015,No type recorded,E,1,0,2
33.783,-118.196,2015,No type recorded,I,1,1,3
33.783,-118.196,2015,No type recorded,I,1,0,11
33.777,-118.181,2015,Unpermitted Construction,I,1,1,1
33.778,-118.188,2015,Unpermitted Construction,I,1,0,1
33.774,-118.186,2009,No type recorded,E,1,1,7
33.778,-118.176,2015,Property Maintenance,I,1,0,1
33.778,-118.176,2015,Property Maintenance,I,1,1,1
33.769,-118.184,2015,No type recorded,I,1,0,2
33.777,-118.195,2015,Property Maintenance,I,1,1,1
33.771,-118.198,2015,Property Maintenance,E,1,0,2
33.784,-118.196,2015,No type recorded,P,1,0,1
33.785,-118.196,2015,No type recorded,I,1,0,41
33.785,-118.196,2015,Property Maintenance,E,1,0,1
33.778,-118.168,2015,Property Maintenance,E,1,0,1
33.769,-118.191,2015,Property Maintenance,I,1,0,1
33.772,-118.187,2015,Property Maintenance,E,1,0,1
33.779,-118.195,2015,No type recorded,I,1,0,8
33.779,-118.195,2015,No type recorded,E,1,1,23
33.779,-118.195,2015,No type recorded,E,1,0,26
33.78,-118.195,2015,No type recorded,I,1,1,28
33.775,-118.195,2009,No type recorded,E,1,1,2
33.771,-118.198,2015,Unpermitted Construction,E,1,1,1
33.779,-118.181,2015,No type recorded,E,1,1,1
33.772,-118.195,2015,No type recorded,I,1,0,2
33.782,-118.195,2015,No type recorded,E,1,0,15
33.78,-118.198,2015,Vehicles,E,1,0,1
33.769,-118.183,2015,Property Maintenance,E,1,1,1
33.777,-118.191,2015,Other,I,1,0,1
33.778,-118.176,2015,Other,I,1,1,1
33.778,-118.176,2015,No type recorded,I,1,1,1
33.775,-118.175,2015,No type recorded,E,1,0,1
33.772,-118.185,2015,Signage,I,1,0,1
33.789,-118.195,2015,Vehicles,I,1,1,1
33.784,-118.191,2015,Property Maintenance,I,1,0,1
33.787,-118.196,2015,No type recorded,E,1,0,39
33.79,-118.174,2015,Other,I,1,0,1
33.78,-118.195,2015,No type recorded,E,1,0,1
33.779,-118.195,2015,No type recorded,I,1,1,5
33.779,-118.194,2015,Vehicles,I,1,0,1
33.779,-118.194,2015,No type recorded,I,1,0,1
33.786,-118.196,2015,No type recorded,E,1,1,4
33.786,-118.196,2015,No type recorded,I,1,0,1
33.787,-118.196,2015,No type recorded,E,1,1,10
33.787,-118.196,2015,No type recorded,I,1,0,17
33.767,-118.195,2015,Habitability,E,1,1,1
33.776,-118.192,2015,No type recorded,I,1,0,1
33.777,-118.186,2015,Property Maintenance,I,1,1,1
33.786,-118.196,2015,Unpermitted Construction,E,1,1,1
33.787,-118.196,2015,Property Maintenance,I,1,1,1
33.778,-118.173,2015,No type recorded,I,1,0,1
33.773,-118.197,2015,No type recorded,E,1,0,1
33.777,-118.171,2015,Property Maintenance,E,1,1,1
33.783,-118.194,2015,Signage,E,1,1,1
33.772,-118.2,2015,Property Maintenance,E,1,0,1
33.777,-118.198,2015,No type recorded,I,1,1,2
33.771,-118.188,2015,No type recorded,E,1,0,1
33.783,-118.195,2015,Property Maintenance,E,1,1,1
33.772,-118.199,2015,No type recorded,E,1,0,1
33.781,-118.195,2015,No type recorded,E,1,0,10
33.782,-118.195,2015,No type recorded,E,1,1,2
33.781,-118.195,2015,No type recorded,I,1,0,1
33.782,-118.195,2015,No type recorded,I,1,1,3
33.782,-118.195,2015,No type recorded,I,1,0,7
33.775,-118.198,2015,No type recorded,I,1,0,1
33.775,-118.186,2016,No type recorded,E,1,1,2
33.775,-118.186,2016,No type recorded,I,1,0,3
33.774,-118.185,2016,Vehicles,E,1,1,1
33.774,-118.195,2016,Property Maintenance,E,1,0,1
33.771,-118.196,2016,Property Maintenance,I,1,0,1
33.772,-118.197,2016,Property Maintenance,I,1,0,2
33.773,-118.196,2016,Property Maintenance,I,1,0,3
33.772,-118.196,2016,No type recorded,I,1,0,26
33.79,-118.189,2016,Graffiti,E,1,0,3
33.771,-118.194,2016,Property Maintenance,E,1,0,1
33.786,-118.192,2016,No type recorded,I,1,0,2
33.785,-118.196,2016,No type recorded,I,1,0,1
33.778,-118.196,2016,No type recorded,E,1,0,14
33.778,-118.191,2016,No type recorded,E,1,1,7
33.777,-118.198,2016,Property Maintenance,E,1,0,1
33.777,-118.195,2016,Property Maintenance,I,1,0,3
33.787,-118.196,2016,No type recorded,I,1,1,1
33.788,-118.196,2016,No type recorded,I,1,1,5
33.788,-118.196,2016,No type recorded,I,1,0,12
33.788,-118.196,2016,No type recorded,E,1,0,25
33.785,-118.197,2009,No type recorded,E,1,1,1
33.782,-118.195,2016,No type recorded,E,1,1,11
33.782,-118.195,2016,No type recorded,E,1,0,5
33.775,-118.179,2009,No type recorded,E,1,1,1
33.775,-118.196,2016,No type recorded,I,1,1,6
33.773,-118.186,2016,No type recorded,E,1,0,2
33.779,-118.185,2016,Property Maintenance,E,1,0,5
33.771,-118.2,2016,Property Maintenance,E,1,0,1
33.771,-118.2,2016,Property Maintenance,I,1,0,3
33.778,-118.172,2016,Habitability,E,1,1,1
33.774,-118.198,2016,No type recorded,E,1,0,14
33.774,-118.198,2016,No type recorded,E,1,1,4
33.789,-118.196,2016,No type recorded,E,1,0,19
33.789,-118.196,2016,No type recorded,I,1,1,2
33.776,-118.188,2016,No type recorded,E,1,1,2
33.786,-118.197,2016,No type recorded,I,1,0,3
33.779,-118.194,2016,Vehicles,E,1,0,1
33.776,-118.171,2016,Property Maintenance,I,1,0,2
33.772,-118.196,2016,No type recorded,I,1,1,14
33.777,-118.172,2016,No type recorded,I,1,1,1
33.779,-118.179,2016,Graffiti,I,1,0,1
33.774,-118.184,2016,No type recorded,I,1,0,1
33.772,-118.201,2016,Habitability,I,1,0,1
33.777,-118.198,2016,Vehicles,E,1,0,1
33.767,-118.185,2016,No type recorded,I,1,0,1
33.778,-118.197,2016,No type recorded,E,1,0,2
33.78,-118.199,2016,No type recorded,I,1,1,1
33.778,-118.191,2016,No type recorded,E,1,0,8
33.774,-118.178,2016,No type recorded,E,1,0,13
33.789,-118.199,2016,Property Maintenance,E,1,0,1
33.778,-118.172,2016,No type recorded,E,1,1,1
33.775,-118.176,2016,Health/Pests,I,1,1,1
33.774,-118.178,2016,No type recorded,I,1,1,2
33.774,-118.178,2009,No type recorded,I,1,1,1
33.774,-118.178,2016,No type recorded,E,1,1,6
